time,freq
0.0,458.63080792666864
0.01,460.5940790703132
0.02,465.5087779724264
0.03,454.6608430906625
0.04,429.17592525794385
0.05,388.4196663199884
0.06,357.8083019962312
0.07,352.8038586091178
0.08,346.4318132425309
0.09,345.2894532608052
0.1,340.38454182681954
0.11,337.7560534332638
0.12,335.16314544702425
0.13,325.9361236309331
0.14,318.28335614840177
0.15,316.77327881453056
0.16,318.9379243549288
0.17,322.2457347362912
0.18,321.19791822475554
0.19,322.860726849638
0.2,324.8832439988484
0.21,322.4151643835736
0.22,320.20154701404954
0.23,319.5904359770267
0.24,317.77241965197
0.25,309.9831607715602
0.26,311.3054700879082
0.27,314.351338806705
0.28,315.8537611316462
0.29,314.101682318743
0.3,312.6103248302341
0.31,310.1109201226127
0.32,309.38455608993735
0.33,319.6059111500261
0.34,324.9405433161988
0.35,321.68173276702845
0.36,319.02225980463703
0.37,317.46079498728454
0.38,319.4378187357846
0.39,319.55662733568636
0.4,309.4172605833432
0.41,310.0869247135167
0.42,308.797308115193
0.43,312.5076393812353
0.44,315.7094812177136
0.45,316.0502981838328
0.46,319.01129962863956
0.47,322.0384520962174
0.48,317.66726279978883
0.49,297.22326221567585
0.5,280.80354047316143
0.51,285.97581068605416
0.52,294.55074354206135
0.53,298.7562375521764
0.54,302.44558236574665
0.55,310.13197147140863
0.56,313.0297036387918
0.57,313.5956563954914
0.58,313.5692197921379
0.59,306.67504302491477
0.6,304.51554240712704
0.61,305.51800296714214
0.62,309.37394661668736
0.63,305.409801698162
0.64,303.0378638757338
0.65,304.02479259494095
0.66,306.62722327872336
0.67,296.1470053106826
0.68,315.6792688708175
0.69,282.13924973985405
0.7,265.426180869728
0.71,293.3014847439822
0.72,289.7093837469478
0.73,289.1108222035875
0.74,293.2506465091203
0.75,296.96509116613095
0.76,297.8267341170091
0.77,303.2914726876814
0.78,311.07297199278
0.79,316.92370092770295
0.8,319.25739288968765
0.81,318.88713729059765
0.82,313.4165363457168
0.83,306.08911585535714
0.84,308.2367059734035
0.85,307.2621033163727
0.86,306.69157830303476
0.87,312.9481106237334
0.88,313.0598123852376
0.89,320.55033340296353
0.9,321.8538407779192
0.91,325.17975549159314
0.92,331.1118064782212
0.93,334.11965086406445
0.94,337.83274723352184
0.95,339.7903182403658
0.96,342.1240274495668
0.97,313.69872565792394
0.98,281.12349001958216
0.99,258.78382461553423
1.0,252.52935195079985
1.01,228.96715947626885
1.02,216.47844615883207
1.03,208.33522023140674
1.04,201.66639894865267
1.05,185.1141454860479
1.06,180.5803944162252
1.07,178.17090721338903
1.08,178.2735877104621
1.09,181.3218966033136
1.1,182.35348128856054
1.11,184.0275804565141
1.12,184.46963140344096
1.13,184.53127776532386
1.14,184.60611956050084
1.15,184.59377761756264
1.16,184.34745143995585
1.17,184.34473166513834
1.18,184.23346529997661
1.19,184.37916816904757
1.2,184.56984024246552
1.21,184.6154232868634
1.22,184.4439501922386
1.23,184.52935785434033
1.24,184.63421200701876
1.25,185.733642540915
1.26,186.81284348787472
1.27,205.6571456888976
1.28,216.65736508472065
1.29,217.55124824295075
1.3,218.39335441245993
1.31,217.79197656456833
1.32,218.29504610884666
1.33,218.65922309772765
1.34,203.73611125962472
1.35,185.46816755077901
1.36,185.01765537110086
1.37,185.61773317899696
1.38,185.42821064005614
1.39,185.60656329033884
1.4,203.11283547309074
1.41,219.0021954179785
1.42,217.86742986955247
1.43,217.4785476749166
1.44,218.52609423651194
1.45,217.3775119036769
1.46,199.42131092062044
1.47,187.82823526140248
1.48,186.04960962605395
1.49,183.81329525210137
1.5,183.71066738072454
1.51,184.4876221175192
1.52,185.52184874782677
1.53,185.30510354021294
1.54,184.35984274488445
1.55,184.2581601950908
1.56,184.60678619860693
1.57,184.7400926601769
1.58,184.27239423811557
1.59,184.43432391004993
1.6,184.66999948643644
1.61,184.61344403858877
1.62,183.98041651428218
1.63,182.42521190894905
1.64,182.52419320225067
1.65,184.72374913911062
1.66,185.32443372664815
1.67,185.38670661618656
1.68,185.84525563500506
1.69,185.4509769485868
1.7,184.59631327188976
1.71,184.00201667382464
1.72,183.7538579531946
1.73,183.48675501620008
1.74,183.43382347611995
1.75,204.6130815246649
1.76,228.3159460147337
1.77,258.18225935745755
1.78,294.32965939221594
1.79,323.55498817243046
1.8,369.002335663791
1.81,370.57833573493104
1.82,370.1417482448786
1.83,370.155203782823
1.84,369.4815981999833
1.85,369.74039303124783
1.86,369.4841982408266
1.87,369.7944272106704
1.88,370.0660529414424
1.89,369.8585521715183
1.9,369.71684881209046
1.91,370.0159755335471
1.92,369.5228055643886
1.93,370.26996614944164
1.94,369.6113967733806
1.95,370.11045852102365
1.96,370.9042830624807
1.97,370.1884358456351
1.98,368.9113441543417
1.99,370.08555389709267
2.0,328.7478557920107
2.01,295.3572096486805
2.02,276.8049900295945
2.03,238.23022883946354
2.04,216.37268637058042
2.05,215.8747843520007
2.06,215.8572159484697
2.07,216.7210979964854
2.08,218.8306865166888
2.09,218.89084019292773
2.1,219.03821899320212
2.11,219.0687796715673
2.12,218.97344964746134
2.13,219.80877132794978
2.14,219.69406912788776
2.15,219.81363720519542
2.16,219.3924231317075
2.17,218.88665859649922
2.18,218.245907025784
2.19,218.34770194362352
2.2,217.46102257493558
2.21,217.36413277731688
2.22,217.79887651012524
2.23,219.43250017179398
2.24,218.43119838582282
2.25,215.99693701315363
2.26,239.73708450786415
2.27,272.775382970989
2.28,293.54179224744126
2.29,328.89592267173623
2.3,370.2327084566175
2.31,369.9630238222845
2.32,370.5318482673315
2.33,369.8956051441871
2.34,369.0923555017346
2.35,369.85588286373695
2.36,370.0271716512623
2.37,371.1829963148858
2.38,369.46871089731536
2.39,336.2534641903012
2.4,318.5900754409972
2.41,293.3259326926317
2.42,279.77649971762065
2.43,252.15389501637955
2.44,229.20339820172362
2.45,219.85224718979902
